Dia no laboral,x,y,dc,dmc,ffmc,isi,ndvi,temperatura,humedad,viento,precipitaciones,Dia_0.0,Dia_1.0,Dia_2.0,Dia_3.0,Dia_4.0,Dia_5.0,Dia_6.0,Mes_1.0,Mes_2.0,Mes_3.0,Mes_4.0,Mes_5.0,Mes_6.0,Mes_7.0,Mes_8.0,Mes_9.0,Mes_10.0,Mes_11.0,Mes_12.0,Hora_0-8,Hora_8-16,Hora_16-23,elevacion
0.0,25,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.446187615
0.0,26,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.912066698
0.0,27,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2.373122215
0.0,28,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2.878897429
0.0,29,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-3.360661507
0.0,30,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-3.993741751
0.0,31,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-4.661190987
0.0,32,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-5.239512444
0.0,33,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-6.094810486
0.0,34,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-6.937821388
0.0,35,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-7.576764584
0.0,36,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.134191513
0.0,37,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.987679482
0.0,38,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.278544426
0.0,39,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.462371826
0.0,40,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.313147545
0.0,41,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.884792328
0.0,42,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.923911095
0.0,43,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.876757622
0.0,44,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.864310265
0.0,45,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.877958298
0.0,46,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.891307831
0.0,47,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.975759506
0.0,48,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,49,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.327952385
0.0,50,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.909045219
0.0,51,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.992265701
0.0,52,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-10.0
0.0,53,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.512126923
0.0,54,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,55,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,56,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,57,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,58,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.0
0.0,59,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.150987625
0.0,60,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.847957611
0.0,61,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.971136093
0.0,62,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-10.0
0.0,63,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-10.28977776
0.0,64,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-11.0
0.0,65,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-11.0
0.0,66,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-11.0
0.0,67,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-11.41053963
0.0,68,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-12.0
0.0,69,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-12.0
0.0,69,0,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-12.0
0.0,0,1,79.965454,10.073426,65.134094,1.3100785,0.2619000077247619,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15.51111126
0.0,1,1,79.965454,10.073426,65.134094,1.3100785,0.1870000064373016,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14.96000004
0.0,2,1,79.965454,10.073426,65.134094,1.3100785,0.1696999967098236,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16.42025948
0.0,3,1,79.965454,10.073426,65.134094,1.3100785,0.1696999967098236,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14.88326645
0.0,4,1,79.965454,10.073426,65.134094,1.3100785,0.1752000004053115,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14.02621078
0.0,5,1,79.965454,10.073426,65.134094,1.3100785,0.1500000059604644,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14.70142651
0.0,6,1,79.965454,10.073426,65.134094,1.3100785,0.1500000059604644,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.67833519
0.0,7,1,79.965454,10.073426,65.134094,1.3100785,0.1464000046253204,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11.61412716
0.0,8,1,79.965454,10.073426,65.134094,1.3100785,0.1464000046253204,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10.46256447
0.0,9,1,79.965454,10.073426,65.134094,1.3100785,0.1182999983429908,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.357204437
0.0,10,1,79.965454,10.073426,65.134094,1.3100785,0.1182999983429908,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.772528648
0.0,11,1,79.965454,10.073426,65.134094,1.3100785,0.1509000062942505,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10.28744316
